"filename", "language", "Markdown", "Shell Script", "C++", "JSON", "XML", "Python", "comment", "blank", "total"
"/home/ubuntu/gits/CP-problem-creating/Deep Spinal-cord Signals Protocol/aiout.py", "Python", 0, 0, 0, 0, 0, 67, 5, 12, 84
"/home/ubuntu/gits/CP-problem-creating/Deep Spinal-cord Signals Protocol/bruteforces.cpp", "C++", 0, 0, 50, 0, 0, 0, 11, 14, 75
"/home/ubuntu/gits/CP-problem-creating/Deep Spinal-cord Signals Protocol/gnc copy.ipynb", "JSON", 0, 0, 0, 679, 0, 0, 0, 1, 680
"/home/ubuntu/gits/CP-problem-creating/Deep Spinal-cord Signals Protocol/statements.md", "Markdown", 38, 0, 0, 0, 0, 0, 3, 27, 68
"/home/ubuntu/gits/CP-problem-creating/Deep Spinal-cord Signals Protocol/std.cpp", "C++", 0, 0, 83, 0, 0, 0, 4, 10, 97
"/home/ubuntu/gits/CP-problem-creating/Embrace the Solitude of Destiny/statement.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 30, 85
"/home/ubuntu/gits/CP-problem-creating/Embrace the Solitude of Destiny/std.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/A.gnc.cpp", "C++", 0, 0, 88, 0, 0, 0, 3, 11, 102
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/A.std.cpp", "C++", 0, 0, 79, 0, 0, 0, 6, 12, 97
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/checker.cpp", "C++", 0, 0, 27, 0, 0, 0, 0, 5, 32
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/generator.ipynb", "JSON", 0, 0, 0, 41, 0, 0, 0, 1, 42
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/gnc copy.ipynb", "JSON", 0, 0, 0, 480, 0, 0, 0, 1, 481
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/i.cpp", "C++", 0, 0, 139, 0, 0, 0, 1, 1, 141
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/notet.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/statment.md", "Markdown", 45, 0, 0, 0, 0, 0, 3, 28, 76
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/std.cpp", "C++", 0, 0, 186, 0, 0, 0, 29, 34, 249
"/home/ubuntu/gits/CP-problem-creating/Imaginary Tree 1/std_Imaginary Tree (StarRail Version).cpp", "C++", 0, 0, 147, 0, 0, 0, 6, 23, 176
"/home/ubuntu/gits/CP-problem-creating/Path Tracing(Easy Vesion)/checker.ipynb", "JSON", 0, 0, 0, 405, 0, 0, 0, 1, 406
"/home/ubuntu/gits/CP-problem-creating/Path Tracing(Easy Vesion)/frameworks.hpp", "C++", 0, 0, 656, 0, 0, 0, 101, 118, 875
"/home/ubuntu/gits/CP-problem-creating/Path Tracing(Easy Vesion)/gnc_data.cpp", "C++", 0, 0, 299, 0, 0, 0, 26, 50, 375
"/home/ubuntu/gits/CP-problem-creating/Path Tracing(Easy Vesion)/statement.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 24, 63
"/home/ubuntu/gits/CP-problem-creating/Path Tracing(Easy Vesion)/std.ptc.cpp", "C++", 0, 0, 866, 0, 0, 0, 169, 159, 1194
"/home/ubuntu/gits/CP-problem-creating/Path Tracing/statement.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 22, 57
"/home/ubuntu/gits/CP-problem-creating/Path Tracing/std.gpt.py", "Python", 0, 0, 0, 0, 0, 99, 28, 13, 140
"/home/ubuntu/gits/CP-problem-creating/Path Tracing/std.ptc.cpp", "C++", 0, 0, 836, 0, 0, 0, 164, 158, 1158
"/home/ubuntu/gits/CP-problem-creating/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ubuntu/gits/CP-problem-creating/a.cpp", "C++", 0, 0, 299, 0, 0, 0, 26, 50, 375
"/home/ubuntu/gits/CP-problem-creating/draft.ipynb", "JSON", 0, 0, 0, 106, 0, 0, 0, 1, 107
"/home/ubuntu/gits/CP-problem-creating/draft.md", "Markdown", 53, 0, 0, 0, 0, 0, 0, 10, 63
"/home/ubuntu/gits/CP-problem-creating/frameworks.hpp", "C++", 0, 0, 656, 0, 0, 0, 101, 118, 875
"/home/ubuntu/gits/CP-problem-creating/graph/statement.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 17, 31
"/home/ubuntu/gits/CP-problem-creating/test.cpp", "C++", 0, 0, 842, 0, 0, 0, 157, 153, 1152
"/home/ubuntu/gits/CP-problem-creating/test.sh", "Shell Script", 0, 12, 0, 0, 0, 0, 14, 5, 31
"Total", "-", 280, 12, 5253, 1711, 2, 166, 857, 1110, 9391